"SUBS_MSISDN","EVENT_DT","CUST_REV"
"2i0a4g6e0a0a3h6e3h4g",2015-11-23,20.556
"2i0a0a9b1j7d7d7d3h4g",2015-11-25,5.8625
"2i0a0a9b1j4g0a4g0a0a",2015-11-23,NA
"2i0a0a9b0a9b0a8c2i7d",2015-11-24,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-24,4.248
"2i0a0a9b1j4g0a4g0a0a",2015-11-24,0
"2i0a0a9b1j7d7d7d3h4g",2015-11-26,38.3347
"2i0a0a9b0a9b0a8c2i7d",2015-11-25,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-25,8.964
"2i0a0a9b1j4g0a4g0a0a",2015-11-25,8.3904
"2i0a0a9b1j7d7d7d3h4g",2015-11-27,11.7665
"2i0a4g6e0a0a3h6e3h4g",2015-11-26,12.688
"2i0a0a9b0a9b0a8c2i7d",2015-11-26,15.9099
"2i0a0a9b1j7d7d7d3h4g",2015-11-28,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-26,NA
"2i0a4g6e0a0a3h6e3h4g",2015-11-27,41.224
"2i0a0a9b0a9b0a8c2i7d",2015-11-27,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-27,0
"2i0a0a9b1j7d7d7d3h4g",2015-11-29,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-28,0.2418
"2i0a0a9b0a9b0a8c2i7d",2015-11-28,NA
"2i0a0a9b1j4g0a4g0a0a",2015-11-28,0
"2i0a0a9b1j7d7d7d3h4g",2015-11-30,NA
"2i0a4g6e0a0a3h6e3h4g",2015-11-29,8.52
"2i0a0a9b0a9b0a8c2i7d",2015-11-29,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-29,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-30,4.404
"2i0a0a9b1j4g0a4g0a0a",2015-11-30,-6.5055
"2i0a0a9b0a9b0a8c2i7d",2015-11-30,0
